@RELATION comment
@ATTRIBUTE comm string
@ATTRIBUTE ratiopos numeric
@ATTRIBUTE rationeg numeric
@attribute classe {-1,1}
@data
"ended watching whole very long fascinated sheer difficult believe so many famous willingly participated maybe 1968 really so naive written confused Latin American Marxist actually good nice spiritual suddenly 20 compelled ease bad releasing Siberian then promptly allowed see secret Vatican papal portrayed most hillariously pious possibly imagine Meanwhile achieved usual socialist economic starving solve minor relentless shining start nuclear justly distribute Western capitalist poor good old worried just ask Chinese 15 old roll laughing 1968 thought looked Western pay quite logical n't always pay sacrifice too common altruistic social crowned entire Catholic world-wide feed poor Chinese thus nuclear Apart there also minor alas provide little redeem incredibly bad give three quite unlikely much more plausible Greek ",56, 43,-1
"expected severally let not rather pick making loosely based real heard heavy English giving German red 2nd contrived not tricked helped smuggle original recorded not played picked there poor incorrect black used went away daily started stereo essentially out n't waste ",48, 51,-1
"absolutely dumbest ever seen splendid playing deputy go obviously spending more ever did only about revel profane reasonable human one 10 worst ever seen ",50, 50,-1
"Bad saw there done actually interesting one told two not told well ",50, 50,-1
"found so curious saw full 4 oddly dispassionate 2 very charismatic engaged gargantuan political almost totally devoid emotional best second slightly high pitched basically come telling here go there do use result still requisite play shunted minor second expect fire dullish hairy bearded running various shouting shooting particular end Several read showered ignoring almost completely One spent more talking new digital entirely odd odd do only hired no more competent unremarked black white imagine directed instead get dull ",46, 53,-1
"just downright not funny not worse worst ever just terrible make most beloved made one worst all-time such n't seen more maybe just so bad n't even describe badly made fired 0-10 ",43, 56,-1
"going most useless ever put down yet do warn not only very worst right up there worst boring pointless nearly free horrible 3-D over-the-top enough drive n't stop there just add bad acting terrible cheesy got heaping as always played made two postmortem too went out like strictly only n't stare ",40, 60,-1
"loved thought great really glad won also liked great just made so angry happened n't care different n't stand together did n't surprise n't proposed n't see forcing marry ready meant then not just other love other let come naturally Turning completely unnecessary stupidly obvious breaking proposing anyway two failed rush one just pitched really rushed wrong Maybe now take find married ",43, 56,-1
"n't really post wanted make sure warn unfinished redeeming whatsoever technical completely amateur constant unintentional dubbing wildly completely clichd laughable embarrassing n't want too harsh made awful innocent see much positive ",41, 58,-1
"better strengthened considerably making a50 Too much superfluous chief bad looking escaped did n't help Living extremely silly quite unnecessary punish now exactly killing again ",39, 60,-1
"actually created worst ever seen low featuring so similar 1st one found sitting right next 2 2 99 actually think good instead watched poor acting ripped 1st one thought actually even half decent pretty much most seen ",40, 59,-1
"stunning fictional innocent young all forced never wanted young new as well complete deeper deeper first two one greatest cinematic Then along came now aging previous not subtle trying use good admitting Very uncharacteristic complex use good derailed ambitious young eventually ongoing predictably realizing entire worthless failed one putting protecting reaching lowest own killed made emotionally riveting innocent young unbelievably tragic forgetting abandoning one always mattered most always just greatly first two horrible never made only final pretend not exist actually shockingly horrible own killed ",39, 60,-1
"Oh so bad weak best flat lifeless even childish far too seriously meant funny saw last entire laughing n't studying also trying see many cram only together sorry first lost animate so please n't try only embarrass ",37, 62,-1
"never read said good did read ever did ruined so many n't really worthy First n't somewhat n't No made helped sink used real so called thought sleeping wanted get away also blackmailed hiding being n't even really mentioned n't believe not together actually first black painted just went visit become fast left west then together Eventually marry again short Only heart broken again Then go back written Now did n't want let get say played did wonderfully blond not really did n't trick alive No there named Eventually actually taking Then Not pregnant also real did not die cut fell possibly pushed never really knew landed almost pure likely took not knowing fell also really dieing did n't show endeared striped bare Then made else n't just own made different enough sure made more so ",38, 61,-1
"Inept boring incoherent supernatural constant n't begin tell bad ever there ever actual did not particular all sadly unconvincing then again no good promote few good about did get green discernible sense really whole pointless alleged cut watched 86 pure 1-10 ",38, 61,-1
"Seriously read ask watching same set able recreate 1930 vintage likable aimless simply not very good just icky animated Then creepy creepier so one other go ",38, 61,-1
"not just considered also written Now n't get wrong here not total did n't hate n't enough like 9 more fair high arty poor honestly mystified seemingly so acclaimed Long winded indulgent rambling finish just so little credibly so high fair worse confessed best far so completely unengaging meandering several loosely connected even significant changing depicted so pointless uninteresting crying get blown n't help very easy identify empathise well did n't think so n't most admittedly all play rather unentertaining great demonstrating intricate playing deep meaningful nth many waffling dire as well marrow-suckingly irritating hitherto thought unique about as enjoyable three forced repeatedly watch intermittently poked disgruntled good though ",41, 58,-1
"did n't expect much set lower starring Still managed disappoint failing even cut pasted dealing big leaned back said done predictable even worse forced look taking seriously even laughable better Also let sitting Fatal just that ",40, 59,-1
"only 1 now 2 always heard awful did not disappoint best worst well just else 12 old just squirmed n't look started rapping kept wondering did n't wish fix front just n't stop watching sucked black hypnotic worth just say actually watched ",40, 59,-1
"star good making bad peaked then started making dreadful became hottest only invite appalling Last here loquacious 48 unbelievably tedious childish generally plain awful see great big tight most appealing entire pure social contacted mysterious told ask rescue Tibetan mystical rule main classy terribly embarrassed hey sure well paid sacrificing easily worst read nice see atypical non formulaic loosely true no forgiving however atypical non formulaic absolute ",40, 59,-1
"funny miserably just terrible 2 old threw together dull cliched young maybe rent n't waste hard earned pay see 1-10 ",39, 60,-1
