@RELATION comment
@ATTRIBUTE comm string
@ATTRIBUTE ratio pos numeric
@ATTRIBUTE ratio neg numeric
@attribute classe {-1,1}
@data
"one allow 0-10 awful even here lauded written one black left asked dan7 graphic meant said 7 24 probably meant 24 missed up Perhaps worst eschatological Biblically unsound many espoused end-time such faulty understand Go Biblical ",0, 100,?
"so lame turned off maybe halfway so weak n't even pay full enough tell far made really wanted believe young somewhat different just n't buy n't really blame fallen flat did find laughing few n't think intended funny only saving bought 2 paid did alone one let classic alone ",18, 81,?
"felt obliged watch all found bought own came close many turning just writing paid OK one creative fake sickening n't thrill then stay shot terrible dubbed German even allowing awful about aforementioned special spent little more real instead little more enjoyable about three inhabited tin-masked captured about escape call loosest really strung together inane obscenity-filled whatsoever redeeming mindless Consider warned ",22, 77,?
"on Get not only make brilliant seriously affect just too much enjoy really happy see rejecting there done brilliantly not only deserved also say give out there not represent ",33, 66,?
"Just saw predictable slow basically Mormon bad sanctioned Rather watching obviously driven funding potential due outrageous exhibited sanctioned however rated true not transfered film horrible completely unnecessary ",28, 71,?
"Casting aside many favorable obviously come many other low listed one lost using accurate So eventually go rent just see One first understand dark psychological hack deep human great repressed wreck bet really impressed Too many raised low last few dig own fresh Instead many other came content rehashing old tired borrowed more unoriginal uninspired unbelievable ",32, 67,?
"stupid acting worse ",31, 68,?
"original then avoid first came waited get sold 3-4 empty refused leave thinking get better ended only left lasted only one then vanished refused comment inside came right one all tried contact get totally ignored ",32, 67,?
"venezuelan not-venezuelan just dramatic did not say started firing best just political did not say more 96 transmitted only 3 private one about 20 did not tell made traditional Even now occuped did not say shooting pacifical claiming did not say killed Military official wrong lie did not say venezuelan civilian even now claiming solve avoid just big ",32, 67,?
"seen very less big one seen real portrayed very badly Not mention most importantly fighting stupidily performed good done better predict going happen next not feel sad protray terrible mainly seen 1000 other realistic show wondering filled moving bombing really bad aiming made stupid only few acting very good as far concerned poorly directed short took ",33, 66,?
"watched sounded interesting one seen long seen never posted online so awful do begin so amateurish unbelievable zero so trite nauseating so much better horrible n't believe single bet buy back negative possible see wasted so badly not mention get 2 back thinking really ",32, 67,?
"Too Much one slowest avoid releasing bigger budgeted few counter-programming skewing 2001 compete big similarly titled try find attract not watching feeling sorry male pose giving hard not married seven dumped best make jealous make see missing ultimately realize open let too much similar almost 1999 similar also reverse going knowing clever other clichd typical wedding stereotypical overbearing practically plagiarized done before n't completely expected real dumped last Even predictable able stand own first charming funny great most too corny unrealistic able make best given able salvage many clever often sexual actually funny primarily enjoy good best released long ",35, 64,?
"one most boring ever seen absolutely awful very limited boring terrible see two coming great creepy definitely helped n't so damn boring n't one root bottom 100 there finally pretty good already way too late only other only really gory messed rather gory got called Back really lucky included bought otherwise chucked one most boring ever seen absolutely awful very limited avoid n't want go absolutely terrible absolutely terrible here making cheap wasting making creepy just keeping incredibly dull just bad good other then hardly other then here terribly did n't convince OK somewhat creepy also overacted did creepy did n't pay enough too getting really bad Overall please avoid not worth out 5 ",31, 68,?
"looking enjoy just video injected live nice interesting look entire Now saying good ten knew watching one worse hoping get better never achieved thirty walk kept growing growing Now 2000 seen probably five only second felt walking entire three main pitiful also other wanted walk just awful rather sit again hard last read said thinking staying rather acting applaud better written bad continually worse put special acting directing suffer greatly Even better acting saying great give 0 out 10 Avoid paying wait video ",34, 65,?
"so bad only compared all-time worst 7 worthwhile really Just n't waste ",34, 65,?
"now running remote back well one non-stop good looked remotely real did n't look made saved overexxagerating there probably just horrendous did n't bother much really drunk slightly humorous maybe as merely 78 still felt too long n't know 78 n't waste 90 other released ",35, 64,?
"long last saw bad very average horribly boring completely unoriginal as much pregnant One first one got right 80 forgotten hoping then never happen potential neither 80 clearly stick pulled only one seemed better sorry ever watching highly turn less traumatic not only total also weak bad ",35, 64,?
"stayed long terrible shoot so fake actually worse rather watching first came thought hey interesting then found absolutely insanely ridiculously stupid really so bad actually took stuck watching other jamming canceling create ",33, 66,?
"WARNING basic homegrown evil magic scary looking see much longer going drag assorted setting haunted presided thoroughly repellent main verbally physically assaulting many possible hard believing even attempt work rude abusive including Regardless visited local annual elderly described including ominous figured prominently irritatingly strobe-flashed robed turned Needless say damn messing eventually most costumed real remaining few normal try good not much shot well decent other underact overact drastically much little so happen there hardly musical speak just actually get anywhere last most telling 90 running used repeatedly set nice dating used date now dating started too many really big play easily dealt 20 so lesbian pretty tame left looking fast forward klunky deep-seated whole get really seen else put back keep looking ",34, 65,?
"one worst ever seen see clueless n't know much Rican probably less not see talking contradicting like see real real genuine then see serious real Not based thought suppose repeating did n't know Well about only got right so called see done using ",35, 64,?
"first saw admit looked good like saw last say growing not mention so sick tired typical loud supposed care very possibly most stupid serial ever existed never least killed one before kill just obsessed going kidnap going kill made too predictable insulting true just brutally murdered become very obsessed captured put 3 just now getting even going senior escaped still bad good kill one become suspicious enough check see big also clearly human apparently get un-noticed kill so silently just wow sorry really did want love n't good long just stupid not impressed Just unbelievable obnoxious just brutally stabbed only just little Not mention n't recommend made not not real did enjoy n't understand 2-10 ",34, 65,?
"Reviewing saying bad n't hard came out fell excoriating worst bad else bad certainly talking about WWII--practically one answer did make first obvious n't severely injured horrible starring 2 n't even Einstain-like dumb make big best starring obnoxious little downright normal pretty jerky keying somehow misunderstood other total selfish horrible learned grown Just see up dead Eventually pummeling accidentally released giving three n't believe tad rusty Eventually realize real However most making so forced follow everywhere--like own personal according become lifelong shed come absent gonna Apparently social much even rap very poorly middle-aged white probably rap least well amazing heard nice far n't great nice hard hate him--even made very stupid So excruciatingly awful probably heard first said seemed try best unlikable bad However later bad too concerned help really needed out nowhere really really make evil oddly accept last trying kill annoying supposed trying kill did n't not Then perhaps worst ending all drug-induced ending even dumber weirder one did make hurt Uggghh--the horrible just too much bear Overall terrible due mostly certifiably insane messed bizarre non-kid friendly horrible one wretched Sadly given hard imagine final turning much worse see modern British made charming exceptionally well-written finish ",31, 68,?
